stream,day,month,year,date,time,meas.q.ls,meas.q.ls.top.of.reach
towr,25,4,2018,2018-04-25,9:29,3.452081406,0.308
towr,5,6,2018,2018-06-05,9:04,4.934,6.407
towr,19,6,2018,2018-06-19,15:23,2.589,1.516
towr,8,8,2018,2018-08-08,8:57,3.84,2.226
towr,5,9,2018,2018-09-05,11:53,1.857,0.919
towr,8,5,2019,2019-05-08,13:50,3.2,3.104
towr,17,1,2020,2020-01-17,12:00,3.935274421,2.88490676
towr,3,2,2020,2020-02-03,13:00,2.474695545,2.57194017
towr,23,6,2020,2020-06-23,12:33,2.142975925,1.587365385
towr,1,4,2021,2021-04-01,14:09,9.803621396,10.46324355
