Sample number,batch,Temperature,Bottle Letter,subsample #,Start Time,End Time,measured_temperature
1,2,4,blank,1,9:59,15:21,3.8
2,2,4,blank,2,9:59,15:21,3.8
3,2,4,blank,3,9:59,15:22,3.8
4,2,4,A,1,10:01,15:23,3.8
5,2,4,A,2,10:01,15:24,3.8
6,2,4,A,3,10:01,15:25,3.8
7,2,4,B,1,10:03,15:25,3.8
8,2,4,B,2,10:03,15:26,3.8
9,2,4,B,3,10:03,15:27,3.8
10,2,4,C,1,10:04,15:28,3.8
11,2,4,C,2,10:04,15:29,3.8
12,2,4,C,3,10:04,15:30,3.8
13,2,8,blank,1,10:22,14:56,7.13
14,2,8,blank,2,10:22,14:57,7.13
15,2,8,blank,3,10:22,14:58,7.13
16,2,8,A,1,10:24,14:59,7.13
17,2,8,A,2,10:24,15:00,7.13
18,2,8,A,3,10:24,15:01,7.13
19,2,8,B,1,10:25,15:02,7.13
20,2,8,B,2,10:25,15:03,7.13
21,2,8,B,3,10:25,15:04,7.13
22,2,8,C,1,10:26,15:05,7.13
23,2,8,C,2,10:26,15:05,7.13
24,2,8,C,3,10:26,15:06,7.13
25,2,12,blank,1,10:52,14:30,11.62
26,2,12,blank,2,10:52,14:31,11.62
27,2,12,blank,3,10:52,14:32,11.62
28,2,12,A,1,10:54,14:32,11.62
29,2,12,A,2,10:54,14:33,11.62
30,2,12,A,3,10:54,14:34,11.62
31,2,12,B,1,10:56,14:35,11.62
32,2,12,B,2,10:56,14:36,11.62
33,2,12,B,3,10:56,14:37,11.62
34,2,12,C,1,10:58,14:38,11.62
35,2,12,C,2,10:58,14:39,11.62
36,2,12,C,3,10:58,14:40,11.62
37,2,16,blank,1,11:14,13:58,16.13
38,2,16,blank,2,11:14,13:58,16.13
39,2,16,blank,3,11:14,13:59,16.13
40,2,16,A,1,11:15,14:01,16.13
41,2,16,A,2,11:15,14:02,16.13
42,2,16,A,3,11:15,14:03,16.13
43,2,16,B,1,11:17,14:04,16.13
44,2,16,B,2,11:17,14:05,16.13
45,2,16,B,3,11:17,14:06,16.13
46,2,16,C,1,11:19,14:07,16.13
47,2,16,C,2,11:19,14:08,16.13
48,2,16,C,3,11:19,14:09,16.13
49,2,20,blank,1,11:32,13:26,19.98
50,2,20,blank,2,11:32,13:26,19.98
51,2,20,blank,3,11:32,13:26,19.98
52,2,20,A,1,11:34,13:28,19.98
53,2,20,A,2,11:34,13:32,19.98
54,2,20,A,3,11:34,13:34,19.98
55,2,20,B,1,11:35,13:36,19.98
56,2,20,B,2,11:35,13:37,19.98
57,2,20,B,3,11:35,13:38,19.98
58,2,20,C,1,11:37,13:38,19.98
59,2,20,C,2,11:37,13:39,19.98
60,2,20,C,3,11:37,13:40,19.98
1,3,4,blank,1,11:10,16:40,4.45
2,3,4,blank,2,11:10,16:40,4.45
3,3,4,blank,3,11:10,16:40,4.45
4,3,4,A,1,11:12,16:41,4.45
5,3,4,A,2,11:12,16:42,4.45
6,3,4,A,3,11:12,16:43,4.45
7,3,4,B,1,11:14,16:44,4.45
8,3,4,B,2,11:14,16:45,4.45
9,3,4,B,3,11:14,16:45,4.45
10,3,4,C,1,11:15,16:46,4.45
11,3,4,C,2,11:15,16:47,4.45
12,3,4,C,3,11:15,16:48,4.45
13,3,8,blank,1,11:33,16:10,7.68
14,3,8,blank,2,11:33,16:10,7.68
15,3,8,blank,3,11:33,16:10,7.68
16,3,8,A,1,11:36,16:11,7.68
17,3,8,A,2,11:36,16:12,7.68
18,3,8,A,3,11:36,16:13,7.68
19,3,8,B,1,11:38,16:14,7.68
20,3,8,B,2,11:38,16:15,7.68
21,3,8,B,3,11:38,16:16,7.68
22,3,8,C,1,11:40,16:16,7.68
23,3,8,C,2,11:40,16:17,7.68
24,3,8,C,3,11:40,16:18,7.68
25,3,12,blank,1,11:55,15:45,11.53
26,3,12,blank,2,11:55,15:45,11.53
27,3,12,blank,3,11:55,15:45,11.53
28,3,12,A,1,11:57,15:47,11.53
29,3,12,A,2,11:57,15:48,11.53
30,3,12,A,3,11:57,15:49,11.53
31,3,12,B,1,11:59,15:50,11.53
32,3,12,B,2,11:59,15:50,11.53
33,3,12,B,3,11:59,15:51,11.53
34,3,12,C,1,12:01,15:52,11.53
35,3,12,C,2,12:01,15:52,11.53
36,3,12,C,3,12:01,15:53,11.53
37,3,16,blank,1,12:21,15:25,16.51
38,3,16,blank,2,12:21,15:25,16.51
39,3,16,blank,3,12:21,15:25,16.51
40,3,16,A,1,12:23,15:27,16.51
41,3,16,A,2,12:23,15:27,16.51
42,3,16,A,3,12:23,15:27,16.51
43,3,16,B,1,12:24,15:30,16.51
44,3,16,B,2,12:24,15:30,16.51
45,3,16,B,3,12:24,15:30,16.51
