Sample number,batch,date,Temperature,Bottle Letter,subsample #,srp.ug.l
1,2,2021-03-11,4,blank,1,62.55
2,2,2021-03-11,4,blank,2,61.53
3,2,2021-03-11,4,blank,3,63.55
4,2,2021-03-11,4,A,1,39.06
5,2,2021-03-11,4,A,2,61.63
6,2,2021-03-11,4,A,3,42.29
7,2,2021-03-11,4,B,1,42.47
8,2,2021-03-11,4,B,2,49.53
9,2,2021-03-11,4,B,3,43.32
10,2,2021-03-11,4,C,1,30.27
11,2,2021-03-11,4,C,2,29.98
12,2,2021-03-11,4,C,3,35.04
13,2,2021-03-11,8,blank,1,63.96
14,2,2021-03-11,8,blank,2,69.17
15,2,2021-03-11,8,blank,3,64.32
16,2,2021-03-11,8,A,1,28.96
17,2,2021-03-11,8,A,2,31.81
18,2,2021-03-11,8,A,3,25.98
19,2,2021-03-11,8,B,1,40.17
20,2,2021-03-11,8,B,2,43.94
21,2,2021-03-11,8,B,3,40.5
22,2,2021-03-11,8,C,1,46.09
23,2,2021-03-11,8,C,2,49.78
24,2,2021-03-11,8,C,3,44.76
25,2,2021-03-11,12,blank,1,64.32
26,2,2021-03-11,12,blank,2,67.07
27,2,2021-03-11,12,blank,3,63.48
28,2,2021-03-11,12,A,1,41.6
29,2,2021-03-11,12,A,2,30.57
30,2,2021-03-11,12,A,3,20.6
31,2,2021-03-11,12,B,1,21.03
32,2,2021-03-11,12,B,2,30.29
33,2,2021-03-11,12,B,3,33.16
34,2,2021-03-11,12,C,1,30.86
35,2,2021-03-11,12,C,2,32.24
36,2,2021-03-11,12,C,3,23.57
37,2,2021-03-11,16,blank,1,61.94
38,2,2021-03-11,16,blank,2,62.48
39,2,2021-03-11,16,blank,3,62.73
40,2,2021-03-11,16,A,1,37.24
41,2,2021-03-11,16,A,2,40.4
42,2,2021-03-11,16,A,3,39.5
43,2,2021-03-11,16,B,1,35.68
44,2,2021-03-11,16,B,2,44.09
45,2,2021-03-11,16,B,3,19.83
46,2,2021-03-11,16,C,1,30.47
47,2,2021-03-11,16,C,2,37.17
48,2,2021-03-11,16,C,3,33.09
49,2,2021-03-11,20,blank,1,61.02
50,2,2021-03-11,20,blank,2,62.58
51,2,2021-03-11,20,blank,3,63.02
52,2,2021-03-11,20,A,1,37.88
53,2,2021-03-11,20,A,2,38.91
54,2,2021-03-11,20,A,3,22.83
55,2,2021-03-11,20,B,1,38.73
56,2,2021-03-11,20,B,2,31.93
57,2,2021-03-11,20,B,3,29.52
58,2,2021-03-11,20,C,1,31.73
59,2,2021-03-11,20,C,2,27.96
60,2,2021-03-11,20,C,3,23.55
1,3,2021-03-18,4,blank,1,34.81
2,3,2021-03-18,4,blank,2,35.63
3,3,2021-03-18,4,blank,3,34.68
4,3,2021-03-18,4,A,1,17.62
5,3,2021-03-18,4,A,2,19.47
6,3,2021-03-18,4,A,3,21.11
7,3,2021-03-18,4,B,1,27.91
8,3,2021-03-18,4,B,2,20.98
9,3,2021-03-18,4,B,3,23.78
10,3,2021-03-18,4,C,1,27.86
11,3,2021-03-18,4,C,2,24.06
12,3,2021-03-18,4,C,3,24.09
13,3,2021-03-18,8,blank,1,36.27
14,3,2021-03-18,8,blank,2,34.06
15,3,2021-03-18,8,blank,3,33.75
16,3,2021-03-18,8,A,1,14.47
17,3,2021-03-18,8,A,2,19.19
18,3,2021-03-18,8,A,3,14.08
19,3,2021-03-18,8,B,1,21.19
20,3,2021-03-18,8,B,2,25.09
21,3,2021-03-18,8,B,3,19.57
22,3,2021-03-18,8,C,1,23.83
23,3,2021-03-18,8,C,2,27.06
24,3,2021-03-18,8,C,3,26.96
25,3,2021-03-18,12,blank,1,35.91
26,3,2021-03-18,12,blank,2,33.93
27,3,2021-03-18,12,blank,3,36.5
28,3,2021-03-18,12,A,1,16.96
29,3,2021-03-18,12,A,2,34.29
30,3,2021-03-18,12,A,3,14.83
31,3,2021-03-18,12,B,1,11.83
32,3,2021-03-18,12,B,2,20.5
33,3,2021-03-18,12,B,3,13.88
34,3,2021-03-18,12,C,1,11.88
35,3,2021-03-18,12,C,2,15.88
36,3,2021-03-18,12,C,3,14.16
37,3,2021-03-18,16,blank,1,30.16
38,3,2021-03-18,16,blank,2,31.34
39,3,2021-03-18,16,blank,3,32.24
40,3,2021-03-18,16,A,1,11.39
41,3,2021-03-18,16,A,2,16.73
42,3,2021-03-18,16,A,3,12.34
43,3,2021-03-18,16,B,1,23.88
44,3,2021-03-18,16,B,2,21.09
45,3,2021-03-18,16,B,3,16.73
